"","SpeciesSSet","Freq","sorted_lambdas"
"1970","Chionis_minor",8,1
"1971","Chionis_minor",8,NA
"1972","Chionis_minor",8,NA
"1973","Chionis_minor",8,NA
"1974","Chionis_minor",8,NA
"1975","Chionis_minor",8,0.107585957041751
"1976","Chionis_minor",8,0.107585957041751
"1977","Chionis_minor",8,0.0499896910876596
"1978","Chionis_minor",8,-0.00120680987747357
"1979","Chionis_minor",8,-0.00120680987747357
"1980","Chionis_minor",8,-0.00120680987747379
"1981","Chionis_minor",8,-0.00120680987747335
"1982","Chionis_minor",8,-0.00120680987747357
"1983","Chionis_minor",8,-0.00120680987747357
"1984","Chionis_minor",8,-0.00120680987747379
"1985","Chionis_minor",8,-0.00120680987747357
"1986","Chionis_minor",8,-0.00120680987747357
"1987","Chionis_minor",8,-0.00120680987747357
"1988","Chionis_minor",8,-0.00120680987747357
"1989","Chionis_minor",8,-0.00120680987747379
"1990","Chionis_minor",8,-0.00120680987747335
"1991","Chionis_minor",8,-0.00120680987747357
"1992","Chionis_minor",8,-0.00120680987747357
"1993","Chionis_minor",8,-0.00120680987747379
"1994","Chionis_minor",8,-0.00120680987747357
"1995","Chionis_minor",8,0.0531332182041639
"1996","Chionis_minor",8,-0.0582667311624607
"1997","Chionis_minor",8,-0.0227432625186799
