Species,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Terrapene_carolina,1,-0.0293541974271432,-0.0293541974271432,-0.0293541974271432,-0.0293541974271427,-0.0293541974271432,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,-0.0304757868183225,-0.0304757868183225,-0.0304757868183223,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513187,0.00816700464513209,0.00816700464513187,0.00816700464513209,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmognathus_fuscus,1,-0.055144111302054,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054948,-0.0238312545054946,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054945,-0.0238312545054948,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054947,-0.0238312545054946,-0.0238312545054947,-0.0238312545054947,NA,0.173000182078539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rana_aurora,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,-1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Graptemys_geographica,1,-0.0267941602332993,-0.0267941602332993,-0.0083799135222502,-0.00837991352224998,-0.00837991352224998,-0.00837991352224998,-0.00837991352224976,-0.0083799135222502,-0.00837991352224998,-0.00837991352224998,0.0032949676160472,0.0032949676160472,0.00329496761604742,0.0032949676160472,0.0032949676160472,0.246456290742702,0.201844409539281,0.0828921421965747,-0.0931858104601041,-0.241592540643318,-0.262568200205663,-0.125118784620417,0.0898953579807254,0.165718280548595,0.0032949676160472,0.0032949676160472,0.0032949676160472,0.0032949676160472,0.0032949676160472,0.00329496761604742,0.00329496761604742,0.0032949676160472,-0.00344439795670493,-0.00344439795670493,-0.00344439795670493,0.250569329374287,0.097615609397065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alligator_mississippiensis,1,0.0414922577779369,0.042450714355069,-0.00661887185775603,0.0772640418943466,0.0282427033264908,0.0605821756775786,0.0399693762919142,0.0367250436765802,0.0326257458415515,0.0282835320351265,0.0246925078633196,0.0224642825634807,0.0213370532053826,0.0241238708952425,0.0318591473424682,0.0298406688729741,0.0262918951204087,0.0213276631126306,0.015752181917045,0.0108018819802516,0.00166599819768676,-0.000571078553882387,-0.0010908060441559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Plethodon_cinereus,1,-0.00342000923875174,-0.00342000923862962,-0.00342000923854568,-0.00342000923807073,-0.00342000923597796,-0.00342000923149821,-0.00342000922565,-0.0034200092207064,-0.00342000921813845,-0.00342000921748187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.101813038189679,-0.101813038189679,-0.101813038189679,0.203887123150955,0.0849916052659859,0.202546491269011,-0.0128861225948654,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eurycea_bislineata,1,-0.223748345786079,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.222443266453761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudacris_maculata,1,NA,0.765376962347215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00876989986896759,-0.00729716318674428,-0.154867978950598,0.180897577344195,0.00694875013164903,0.00854645488304007,0.00598883335176809,-0.348925252474491,0.148917671946834,0.448915016140411,-0.236600611871434,0.00899941024679735,0.00943584602974394,-0.0377647694982227,0.164125287400449,0.159514052413476,-0.0909823730946698,0.128815790767312,-0.0393959716945735,-0.0763889801732584,-0.0728526494371408,-0.125727185811052,0.0224977240910731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emydoidea_blandingii,1,NA,NA,-0.0244131253274322,-0.0244131253274322,-0.0244131253274322,-0.0244131253274322,-0.0244131253274325,-0.0244131253274322,-0.0244131253274322,-0.0244131253274322,-0.0244131253274325,-0.0244131253274322,-0.0244131253274322,-0.0244131253274325,-0.0244131253274322,-0.0244131253274322,-0.0244131253274322,0.0151707228298668,0.0148786310582718,0.0145610816189599,0.0144824803005135,0.0145048485457352,0.0141390273792146,0.0129891211091226,0.0110689461676413,0.00870146967484797,0.00621022324044918,0.00375361996771417,0.00137377129943783,-0.000924731183951089,-0.00311495241366522,-0.00508009143152222,0.0108916452451875,0.00809467546780862,0.00590568043391726,0.00441686632392746,0.00361193199020438,0.0033476792032423,0.00353218065971683,0.00419990007125759,0.00532133295159554,0.00662624306875204,0.00775020002324922,0.00854146644261311,0.00910659220310994,0.00954885759168556,0.00980837510142618,NA
Chelydra_serpentina,1,NA,NA,-0.00801830827608663,-0.00801830827608674,-0.00801830827608663,-0.00801830827608663,-0.0304492054210199,-0.0183279106764002,0.0256329306740051,0.0115831205835893,0.0228027953845735,0.0172137222778403,0.00622130947756488,-0.0103796492698428,-0.0723947438201562,-0.0108678352184945,-0.0488480153786475,-0.115323331356471,-0.0397905236005182,0.0153459550703601,0.0267724458685686,0.0215283223608142,0.00898469741594599,0.00684526483007512,0.0169790051614738,0.0245537784055825,0.0208020907162313,0.0148971541504348,0.0185211167476421,0.0284457420391564,0.0329454506481418,0.0481404160897795,0.042411830782323,0.0425804140649287,0.00112529127395788,-0.00636477525652124,-0.00806193186647897,0.00495299182971665,0.018747829768621,0.0184153022465159,0.011754402223946,0.0139072254531702,0.0215739500291923,NA,NA,NA,NA,NA
